"url","routeType","httpStatus","finalUrl","canonicalUrl","canonicalIsSelf","indexable","robotsAllowed","robotsMeta","sitemapIncluded","title","titleLength","metaDescription","descriptionLength","h1","openGraph","twitter","jsonLdTypes","incomingInternalLinkCount","outgoingInternalLinkCount","wordCount","modifiedDate","sitemapLastmod","duplicateTitle","duplicateDescription","orphanPage","redirectChain","structuredDataValidity","structuredDataErrors","sources","error"
"https://vidrial.vercel.app/","homepage","200","https://vidrial.vercel.app/","https://vidrial.vercel.app/","true","true","true","index,follow","true","Vidrial — AI video editing that understands your project","56","Upload raw clips, audio and images. Tell us what you're making. We find the moments, propose the edit and build a timeline you can still control.","145","[""Your footage. One prompt. A finished first cut.""]","{""title"":""Vidrial — AI video editing that understands your project"",""description"":""Upload raw clips, audio and images. Tell us what you're making. We find the moments, propose the edit and build a timeline you can still control."",""image"":null,""url"":""/""}","{""card"":""summary"",""title"":null,""description"":null,""image"":null}","[]","78","24","909","""""","""""","false","true","false","[{""url"":""https://vidrial.vercel.app/"",""status"":200}]","none","[]","[""crawl-seed"",""route-tree"",""sitemap""]",""""""
"https://vidrial.vercel.app/acceptable-use","trust-legal","200","https://vidrial.vercel.app/acceptable-use","https://vidrial.vercel.app/acceptable-use","true","true","true","index,follow","false","Acceptable use — Vidrial","24","What you can and can't do with Vidrial.","39","[""Acceptable use policy""]","{""title"":""Vidrial — AI video editing that understands your project"",""description"":""Upload raw clips, audio and images. Tell us what you're making. We find the moments, propose the edit and build a timeline you can still control."",""image"":null,""url"":""/acceptable-use""}","{""card"":""summary"",""title"":null,""description"":null,""image"":null}","[]","53","23","186","""""","""""","false","false","false","[{""url"":""https://vidrial.vercel.app/acceptable-use"",""status"":200}]","none","[]","[""route-tree""]",""""""
"https://vidrial.vercel.app/ai-transparency","trust-legal","200","https://vidrial.vercel.app/ai-transparency","https://vidrial.vercel.app/ai-transparency","true","true","true","index,follow","true","AI transparency — Vidrial","25","When AI is used, what it sees, and what stays in your hands.","60","[""When AI is used, and when it isn't.""]","{""title"":""Vidrial — AI video editing that understands your project"",""description"":""Upload raw clips, audio and images. Tell us what you're making. We find the moments, propose the edit and build a timeline you can still control."",""image"":null,""url"":""/ai-transparency""}","{""card"":""summary"",""title"":null,""description"":null,""image"":null}","[]","53","24","325","""""","""""","false","false","false","[{""url"":""https://vidrial.vercel.app/ai-transparency"",""status"":200}]","none","[]","[""route-tree"",""sitemap""]",""""""
"https://vidrial.vercel.app/app","authenticated-app","200","https://vidrial.vercel.app/login","https://vidrial.vercel.app/login","false","false","true","noindex,nofollow","false","Log in — Vidrial","16","Upload raw clips, audio and images. Tell us what you're making. We find the moments, propose the edit and build a timeline you can still control.","145","[""Welcome back.""]","{""title"":""Vidrial — AI video editing that understands your project"",""description"":""Upload raw clips, audio and images. Tell us what you're making. We find the moments, propose the edit and build a timeline you can still control."",""image"":null,""url"":""https://vidrial.vercel.app/""}","{""card"":""summary"",""title"":null,""description"":null,""image"":null}","[]","0","4","101","""""","""""","true","true","false","[{""url"":""https://vidrial.vercel.app/app"",""status"":307},{""url"":""https://vidrial.vercel.app/login?redirect=%2Fapp"",""status"":200}]","none","[]","[""route-tree""]",""""""
"https://vidrial.vercel.app/app/automations","authenticated-app","200","https://vidrial.vercel.app/login","https://vidrial.vercel.app/login","false","false","false","noindex,nofollow","false","Log in — Vidrial","16","Upload raw clips, audio and images. Tell us what you're making. We find the moments, propose the edit and build a timeline you can still control.","145","[""Welcome back.""]","{""title"":""Vidrial — AI video editing that understands your project"",""description"":""Upload raw clips, audio and images. Tell us what you're making. We find the moments, propose the edit and build a timeline you can still control."",""image"":null,""url"":""https://vidrial.vercel.app/""}","{""card"":""summary"",""title"":null,""description"":null,""image"":null}","[]","0","4","101","""""","""""","true","true","false","[{""url"":""https://vidrial.vercel.app/app/automations"",""status"":307},{""url"":""https://vidrial.vercel.app/login?redirect=%2Fapp%2Fautomations"",""status"":200}]","none","[]","[""route-tree""]",""""""
"https://vidrial.vercel.app/app/automations/new","authenticated-app","200","https://vidrial.vercel.app/login","https://vidrial.vercel.app/login","false","false","false","noindex,nofollow","false","Log in — Vidrial","16","Upload raw clips, audio and images. Tell us what you're making. We find the moments, propose the edit and build a timeline you can still control.","145","[""Welcome back.""]","{""title"":""Vidrial — AI video editing that understands your project"",""description"":""Upload raw clips, audio and images. Tell us what you're making. We find the moments, propose the edit and build a timeline you can still control."",""image"":null,""url"":""https://vidrial.vercel.app/""}","{""card"":""summary"",""title"":null,""description"":null,""image"":null}","[]","0","4","101","""""","""""","true","true","false","[{""url"":""https://vidrial.vercel.app/app/automations/new"",""status"":307},{""url"":""https://vidrial.vercel.app/login?redirect=%2Fapp%2Fautomations%2Fnew"",""status"":200}]","none","[]","[""route-tree""]",""""""
"https://vidrial.vercel.app/app/billing","authenticated-app","200","https://vidrial.vercel.app/login","https://vidrial.vercel.app/login","false","false","false","noindex,nofollow","false","Log in — Vidrial","16","Upload raw clips, audio and images. Tell us what you're making. We find the moments, propose the edit and build a timeline you can still control.","145","[""Welcome back.""]","{""title"":""Vidrial — AI video editing that understands your project"",""description"":""Upload raw clips, audio and images. Tell us what you're making. We find the moments, propose the edit and build a timeline you can still control."",""image"":null,""url"":""https://vidrial.vercel.app/""}","{""card"":""summary"",""title"":null,""description"":null,""image"":null}","[]","0","4","101","""""","""""","true","true","false","[{""url"":""https://vidrial.vercel.app/app/billing"",""status"":307},{""url"":""https://vidrial.vercel.app/login?redirect=%2Fapp%2Fbilling"",""status"":200}]","none","[]","[""route-tree""]",""""""
"https://vidrial.vercel.app/app/feedback","authenticated-app","200","https://vidrial.vercel.app/login","https://vidrial.vercel.app/login","false","false","false","noindex,nofollow","false","Log in — Vidrial","16","Upload raw clips, audio and images. Tell us what you're making. We find the moments, propose the edit and build a timeline you can still control.","145","[""Welcome back.""]","{""title"":""Vidrial — AI video editing that understands your project"",""description"":""Upload raw clips, audio and images. Tell us what you're making. We find the moments, propose the edit and build a timeline you can still control."",""image"":null,""url"":""https://vidrial.vercel.app/""}","{""card"":""summary"",""title"":null,""description"":null,""image"":null}","[]","0","4","101","""""","""""","true","true","false","[{""url"":""https://vidrial.vercel.app/app/feedback"",""status"":307},{""url"":""https://vidrial.vercel.app/login?redirect=%2Fapp%2Ffeedback"",""status"":200}]","none","[]","[""route-tree""]",""""""
"https://vidrial.vercel.app/app/help","authenticated-app","200","https://vidrial.vercel.app/login","https://vidrial.vercel.app/login","false","false","false","noindex,nofollow","false","Log in — Vidrial","16","Upload raw clips, audio and images. Tell us what you're making. We find the moments, propose the edit and build a timeline you can still control.","145","[""Welcome back.""]","{""title"":""Vidrial — AI video editing that understands your project"",""description"":""Upload raw clips, audio and images. Tell us what you're making. We find the moments, propose the edit and build a timeline you can still control."",""image"":null,""url"":""https://vidrial.vercel.app/""}","{""card"":""summary"",""title"":null,""description"":null,""image"":null}","[]","0","4","101","""""","""""","true","true","false","[{""url"":""https://vidrial.vercel.app/app/help"",""status"":307},{""url"":""https://vidrial.vercel.app/login?redirect=%2Fapp%2Fhelp"",""status"":200}]","none","[]","[""route-tree""]",""""""
"https://vidrial.vercel.app/app/projects","authenticated-app","200","https://vidrial.vercel.app/login","https://vidrial.vercel.app/login","false","false","false","noindex,nofollow","false","Log in — Vidrial","16","Upload raw clips, audio and images. Tell us what you're making. We find the moments, propose the edit and build a timeline you can still control.","145","[""Welcome back.""]","{""title"":""Vidrial — AI video editing that understands your project"",""description"":""Upload raw clips, audio and images. Tell us what you're making. We find the moments, propose the edit and build a timeline you can still control."",""image"":null,""url"":""https://vidrial.vercel.app/""}","{""card"":""summary"",""title"":null,""description"":null,""image"":null}","[]","0","4","101","""""","""""","true","true","false","[{""url"":""https://vidrial.vercel.app/app/projects"",""status"":307},{""url"":""https://vidrial.vercel.app/login?redirect=%2Fapp%2Fprojects"",""status"":200}]","none","[]","[""route-tree""]",""""""
